"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"908","Koper",337,58,7.3,2.675,1.1,9.7,4.475,2.7,0.05,0.4,1008.7,1007.8875,1006.7,75.6,63.8375,49.2,16.1,15.6,15.2,26.8,24.8125,22.9,152.6,"8",174.7
"2138","Ljubljana",1,0.125,4.8,3.075,1.4,11.6,7.9,3.2,0,0,968.5,966.5625,964.8,99.2,82.95,76.4,1.4,1.3375,1.2,11.7,10.2125,6,59.2,"1",12.9666666666667
"2172","Ljubljana",7,0.875,3.1,2.075,1.5,7.3,5.1125,4.1,0,0.4,978.8,977.025,976,84.4,82.125,80,1.2,0.975,0.1,10.8,10.3125,9.7,63.35,"2",71.4
"1496","Ljubljana",177,25,1.5,0.9375,0.6,3,2.175,1.6,0,0,973.8,972.4875,971.5,93.6,92.325,89.1,2.8,1.7875,0.8,9.3,8.225,7.6,69.65,"9",84.6666666666667
"2411","Ljubljana",27,3.75,1.3,0.6875,0.2,2.7,1.8125,1.2,0.0875,0.7,987,985.75,985.2,95.3,93.1,86.9,5.8,5.275,4.5,11.4,11.1875,11,36.7,"10",30.8833333333333
"1401","Ljubljana",295,50.75,1.1,0.6375,0.2,2.6,1.7625,1,0,0,982.9,982.65,982.5,96.9,94.7125,88.3,11,8.875,7.8,15.9,14.5625,14,97.4,"6",92.35
"1803","Ljubljana",216,49.625,0.9,0.3125,0,1.7,0.9625,0.3,0,0,984.2,984.025,983.8,97.8,95.25,91.5,12.4,10.7,9.3,14.6,13.5375,12.4,95.85,"8",90.8166666666667
"817","Koper",489,105,2.4,1.6125,0.9,5.2,3.625,2.8,0,0,1022.4,1020.9125,1019.2,73.3,63.075,53.4,8.3,6.3125,5.4,20,18.85,16,120.85,"5",128.5
"74","Koper",8.7,1.675,5.7,3.2875,1.8,12.6,7.2625,3.2,0.7625,5.2,1009.7,1004.5125,1000.1,88.2,80.575,74.7,-3.4,-4.2125,-5.2,10,8.55,6.8,103.15,"3",103.916666666667
"1807","Ljubljana",176,29.875,0.5,0.325,0,1.7,1.2125,0.1,0.375,3,980.3,979.8625,979.6,97.9,96.8,95,10.2,8.8,8.2,14.1,13.0875,12.7,53.9,"9",69.3666666666667
