"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"204","Koper",129,33.625,3.1,1.9,1.2,6.7,3.9125,2.3,0,0,1013.3,1012.025,1011.1,63.7,55.025,46.9,21.2,19,17.5,28,26.9,26.4,99.8,"8",168.45
"205","Koper",375,64.625,5.9,2.7375,0.9,10.6,7.1375,2.7,0,0,1013.4,1012.075,1010.8,74.9,51.95,42.8,12.1,10.95,9.7,27.1,25.7625,24.7,107.6,"8",140.466666666667
"206","Koper",423,85.375,3.5,2.3,1,6,4.5,3.3,0,0,1016.9,1016.375,1015.9,50.3,44.6,35.3,12.7,9.775,8.7,25.6,23.7875,22.5,140.5,"8",121.766666666667
"207","Koper",418,83.875,2.4,1.9375,1.2,6.2,4.1375,3,0,0,1016.3,1015.875,1015.7,54.3,44.9625,30,13.8,10.25,9.1,27.9,22.925,20.5,134.65,"8",115.966666666667
"208","Koper",385,77,2.5,1.6375,0.9,3.6,2.85,1.7,0,0.5,1014.1,1013.5375,1013.2,59.8,49.7125,33.2,15.7,13.2625,12.2,27.4,22.3375,20,138.25,"8",127.583333333333
"209","Koper",125,24.5,5,3.1125,1.5,15.4,8.9375,3.6,0.0625,0,1015.1,1014.25,1013.7,52.8,47.55,38.6,10,8.5875,7.6,24.6,23.6375,23.3,97.15,"8",137.8
"210","Koper",412,82.125,4.1,2.6375,1.1,10.2,7,4,0,0,1020,1018.9125,1018.3,48.7,43.0125,32.9,9.4,7.0875,6.2,24.1,21.75,20.8,103.7,"8",123.35
"214","Koper",382.9,75.4625,2.8,2.1625,1,4.2,3.45,2,0,0.2,1016.6,1016.075,1015.7,65.4,58.95,37.4,15.9,12.95,11.5,26.4,20.3875,18.7,155.15,"8",157.65
"216","Koper",373,72.875,3,2.2625,1.6,8.7,6.2,3.5,0,0,1020.3,1019.875,1019.6,39.3,37.5625,32.6,10.3,8.475,7.6,24.3,22.2875,21.4,99.9,"8",148.45
"220","Koper",255,47.75,2.5,1.7875,1.4,6.2,3.35,2.2,0.65,5.2,1012.4,1011.5125,1011,83.2,78.625,70.5,9.5,7.825,7,20.3,18.725,17.3,108,"8",133.566666666667
"221","Koper",359,64.5,2.5,1.6375,0.8,3.8,3.1,2.3,0,0,1010.7,1010.05,1009.5,83.9,79.625,69,9.3,8.425,7.8,22.2,19.3875,18.2,106.95,"8",128.183333333333
"222","Koper",369,59.375,2.6,1.7875,1.1,3.9,3,2,0,0,1019,1017.7125,1016.8,70.1,64.275,46.3,8.4,7.275,6.7,22.5,18.65,17.2,112.9,"8",118.266666666667
"223","Koper",194,47.5,2.7,2.025,1.1,4.2,3.5375,2.5,0,0,1020,1019.45,1019.1,70.1,60.9375,37,8.3,6.575,5.6,22.6,17.675,15.9,120.85,"8",109.283333333333
"224","Koper",343,64.625,2.7,1.8625,0.6,4,3.05,1.1,0,0,1019.4,1019.2,1019,65.6,56.7375,41.7,9.7,8.3875,7.8,22.6,17.9125,16.4,135.65,"8",113.566666666667
"230","Koper",315,57.375,2.6,1.8,0.9,3.6,2.9375,2.1,0,0,1014.4,1013.9875,1013.7,71,63.9375,51.1,10.9,10.275,9.9,24.2,20.375,18.6,114.85,"9",119.233333333333
"237","Koper",323,57.625,2.4,1.7375,0.9,3.5,2.7,1.6,0,0,1016.8,1015.775,1015.1,70,64.775,51.5,4.1,3.35,2.8,19,15.7375,13.9,98,"9",94.4
"242","Koper",240.9,43.9625,2.6,2.075,1.6,4.3,3.275,2.5,0,0,1007.6,1006.575,1006,66.8,61.8,49.2,2.8,1.7875,0.8,17,13.6625,12.1,103.05,"9",102.133333333333
"246","Koper",102,20.25,1.7,1.15,0.7,3,2.1875,1.5,0,0,1026,1025.05,1024.6,60.7,57.15,53.2,4.6,4.1125,3.6,18.8,18,16.6,95.2,"9",96.1333333333333
"253","Koper",72.5,11.5,4.2,2.5375,1,7.3,4.9375,2.5,0.0375,0.3,1011.6,1009.825,1008.3,74,72.0375,69.1,9.2,8.5,7.4,21.8,21.55,21.2,105.4,"9",103.816666666667
"261","Koper",50.9,7.975,2.3,1.55,0.5,5.5,3.8375,1.4,0.05,0.4,1022,1021.7125,1021.2,78.3,63.575,52.2,6.6,6.3375,5.8,16.9,15.8875,14.8,84.35,"10",71.6833333333333
"262","Koper",29.6,5.775,3.5,2.4875,1.5,9.1,5.95,3.5,0.0125,0.1,1023.3,1022.5,1021.9,69.1,64.6,60.5,7,5.3625,4.1,16.1,15.525,15.2,84.15,"10",73.5
"266","Koper",20,2.875,2.3,1.625,0.7,5.7,3.25,1.6,0.6625,5.2,1017.9,1016.7125,1015.6,86.8,76.3375,61,3.7,2.675,2,13.2,11.6375,9.6,82.25,"10",87.5666666666667
"270","Koper",100.7,13.05,2,1.125,0.5,3.2,2.2375,1,0.1875,1.5,1009.3,1007.1125,1006.1,89.7,83.625,79,3.6,2.8875,1.4,15.9,15.5,15,76.05,"10",77.5166666666667
"272","Koper",148,20.375,2.2,1.4375,1.1,3.5,2.7125,2.2,0,0,1017.6,1016.7,1016.3,89.8,81.6375,78.5,6.4,5.35,4.9,11.8,10.175,9.5,88.3,"10",74.35
"275","Koper",23.3,3.2,6.1,2.1625,1,11.8,5.3,2.4,0.0375,0.1,1022.8,1022.3625,1021.3,82.7,77.9625,72.7,7.4,7.1625,7,18.5,18.075,17.7,97.8,"10",94.8166666666667
"283","Koper",49,6.75,3.2,2.425,1.5,5.9,4.9375,4.1,0,0,1015.5,1014.925,1014.6,72.7,70.5625,68.8,8.2,7.7,7.2,20.3,19.8375,19.2,80.8,"10",69.7166666666667
"287","Koper",7.7,1.05,2.2,1.4375,0.5,3.7,2.575,1.5,0.05,0.4,1020.1,1018.0875,1016.7,84.3,79.4875,77.6,3.2,2.8875,2.7,15.3,14.5375,13.4,73,"11",71.6833333333333
"293","Koper",19.4,2.6,1.1,0.8125,0.5,1.8,1.525,1.2,0,0,1017.5,1016.95,1016.4,88.9,84.45,79.8,4.9,4.7625,4.6,15.7,15.3375,15.1,49.55,"11",63.6
"295","Koper",40,5,2.7,1.9375,1.4,6,3.675,2.7,0,0.7,1010.3,1009.175,1008.1,74.8,69.9875,64.8,0.6,0.25,-0.5,15.4,14.55,14.1,78.05,"11",62.8333333333333
"299","Koper",10.5,1.375,3.3,2.125,1.6,7.7,5.275,3.8,0.0625,0.1,1014.9,1013.4625,1012.7,70.3,60.5875,54.8,-0.3,-0.8625,-1.3,11.5,10.85,10,31.6,"11",70.5666666666667
"301","Koper",39,4.875,1.8,1.6875,1.3,3.4,2.7125,2,0,0,1024.5,1023.9,1023.3,75.3,72.85,67.8,1.1,-0.8,-2.7,8.6,6.9875,6.2,67.6,"11",53.7166666666667
"302","Koper",18.6,2.325,1.6,1.2375,0.8,4.6,2.3875,1.7,0,0,1020.9,1019.4875,1018.5,78.1,75.8875,73.8,1.6,0.8625,-0.5,11.9,11.5875,11.2,56.9,"11",51.9833333333333
"305","Koper",17,2.125,2.3,1.95,1.6,3.7,3.1375,2.5,0.025,0.6,1003.1,1001.775,1000.4,76,73.675,71.4,-1,-1.2875,-1.7,10.5,10.1125,9.7,68.8,"11",68.8166666666667
"306","Koper",8.9,1.1125,3.4,2.1375,1.5,10.5,5.0625,2.8,1.6375,12.9,1000.3,999.475,999,88.7,80.6625,69.6,-1.9,-2.4625,-3.3,10.5,8.9375,8.5,76.45,"11",72.7833333333333
"307","Koper",5,0.625,4.1,3.15,2.3,9.5,7.525,5.3,0.025,0,1000.6,998.85,997.9,63.9,58.6625,56.1,-0.5,-1.2,-1.6,11.2,10.625,9.9,59.05,"11",71.7833333333333
"308","Koper",30,3.75,2,1.5875,0.8,4.4,3.35,2.2,0,0,1005.6,1004.475,1003.6,76.5,70.0375,64.5,-1.5,-1.8375,-2.1,9.5,8.4,7.2,61.95,"11",68.1
"309","Koper",12,1.5,4.8,1.9375,1.2,11.6,4.2125,1.9,0,0,1013,1010.2125,1008.5,67.4,51.85,23.3,-4,-6.6,-10.3,11,9.3,8.3,68.65,"11",65.8166666666667
"310","Koper",12,1.5,4.8,3.3125,1.5,9.7,7.6375,4.2,0,0,1020.6,1019.3375,1018.8,32.2,28.0625,25.8,-9.6,-10.4625,-10.9,6.1,5.15,3.7,64.85,"11",63.2166666666667
"312","Koper",13,1.625,2.9,1.9375,0.8,7.5,5.3625,2,0,0,1030,1029.5875,1029.2,47.6,40.1,36.7,-5.5,-8.125,-10.2,4.8,4.4125,3.4,58.4,"11",62.9833333333333
"317","Koper",11,1.375,3.8,2.5125,1.4,8.9,7.0875,3.3,0,0,1029,1028.7625,1028.6,57.1,43.9875,39.2,0.2,-1.7875,-3.6,8.4,7.25,4.4,65.05,"12",65.6666666666667
"320","Koper",6,0.75,2.3,1.675,0.9,3.9,3.3375,2.2,0,0,1014.5,1012.8375,1011.8,78.9,73.9875,65,-0.6,-2.025,-3.5,6.5,5.8375,5.1,47.65,"12",60
"321","Koper",8,1,2.4,2.0375,1.5,4,3.2875,2.6,0,0,1020.3,1018.1875,1016.7,65.4,55.4875,47,-7.2,-7.5875,-7.8,5.7,3.8875,2.4,70.4,"12",54.2
"322","Koper",11,1.375,2.4,1.425,0.9,3.2,2.5875,2,0,0,1026.5,1025.9875,1025.7,71.5,67.35,60.6,-3.8,-4.525,-5.3,5.6,4.8125,4.2,67.75,"12",54.6833333333333
"325","Koper",6,0.75,2.2,1.5125,0.9,3.6,2.875,1.9,0,0,1036.1,1035.675,1035.3,82.7,81.1,78.9,3.5,2.7125,0.8,5.3,4.45,3.8,45.8,"12",51.1833333333333
"326","Koper",6,0.75,2.1,1.6625,0.9,3.7,2.875,1.5,0,0,1033.4,1032.825,1032.2,90,88.875,87.7,2.5,2.15,1.6,4.4,3.6375,3,37.4,"12",43.8666666666667
"327","Koper",3,0.375,2.5,1.9125,1.5,3.5,3.075,2.5,0,0,1028,1026.7125,1026,92.9,91.95,90.7,3.8,2.8625,1.7,5.1,3.7,3,6.4,"12",40.0833333333333
"332","Koper",3,0.375,2.9,1.675,0.9,4.2,2.85,1.8,0,0,1029.1,1028.225,1027.5,90.9,88.3125,84.9,5.4,4.7875,4.3,2.2,1.4125,0.7,27.9,"12",53.1833333333333
"333","Koper",2,0.25,2.7,1.675,0.9,4.2,2.9375,1.8,0,0,1024.8,1024.1125,1023.7,92.5,87.1625,84,2,-1.7875,-3.8,3.2,2.225,1.6,68.55,"12",38.9833333333333
"334","Koper",4,0.5,2.7,1.775,1.3,3.7,3.0125,2.3,0,0,1025,1023.6875,1022.8,87.1,81.5375,76.2,-2.2,-2.9375,-3.9,8.6,7.425,6,77.6,"12",40.2333333333333
"336","Koper",0,0,1.9,1.3375,0.7,3.6,2.4375,1.1,0,0,1034,1033.275,1032.9,93.5,88.6,85.2,0.5,0.3,0.2,11,10.7375,10.3,22.15,"12",68.7333333333333
"350","Koper",0,0,6.4,3.375,1.3,12.4,7.1375,3.2,1.175,8.1,1007.2,1006.1375,1004.9,94.9,87.1625,75.8,3.1,1.6625,0.6,15.7,13.775,11.9,78.7,"1",54.7833333333333
"352","Koper",1,0.125,2.7,1.625,0.9,4.1,2.6625,1.5,0,0,1023.7,1022.65,1022.1,93.8,92.1375,89.4,1.9,0.55,0.2,10.5,9.6875,8.6,51.2,"1",74.2666666666667
"353","Koper",1,0.125,2.2,1.4375,0.5,3.4,2.5,1.2,0,0,1027.1,1026.2375,1025.8,91.8,88.4875,85.6,5.6,4.05,2.9,9,8.6,8,49.25,"1",63.1666666666667
"355","Koper",0,0,1.4,0.8625,0.4,3.6,1.825,1,0,0,1018.9,1018.2375,1017.6,90.8,89.2875,88.1,-0.5,-0.8625,-1.5,9.3,8.975,8.8,12.9,"1",43.0333333333333
"358","Koper",0,0,2.9,2,0.9,4.6,3.4625,2.1,0,0,1022.4,1021.9,1021.4,93.1,88.7625,86.2,1.9,1.1625,0.4,9.5,9.3,8.8,37.15,"1",11.4833333333333
"360","Koper",0,0,2.1,1.475,0.9,3.1,2.35,1.5,0,0,1010.4,1008.5875,1007.3,92.8,91.15,89.9,-1.3,-2.15,-2.8,10.8,10.225,10,36.75,"1",43.8666666666667
"361","Koper",5,0.625,3,1.6,0.9,4.8,2.85,1.9,0,0,1015.9,1015.4,1015,89,84.1875,78.8,-3.6,-3.9,-4.2,9.2,9.025,8.8,48.35,"1",51
